NOM_SITE,Annee,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
Astan,2011,13.75,35.298,5.975,8.015,0.285,5.68,0.2,0.27,3.04,115,1.8,0.605,6.85,-22.64,6.405
Astan,2012,12.55,35.35,6.005,8.04,0.27,3.35,0.19,0.32,2.2,109.94,1.2,0.67,7.315,-23.495,6.195
Astan,2013,12.335,35.248,6.075,7.95,0.285,6.38,0.2,0.26,2.55,80.5,0.6,0.66,7.14,-23.22,5.94
Astan,2014,13.675,35.149,6.05,7.945,0.195,5.7,0.245,0.365,2.85,105.9,1.4,0.605,5.89,-23.095,7.1
Astan,2015,13.425,35.2715,6.07,7.97,0.21,4.75,0.17,0.325,2.57,94.425,0.9,0.66,7.08,-22.95,5.22
Astan,2016,12.95,35.191,6.03,7.93,0.19,5.01,0.185,0.35,2.5,99.145,1.1,0.635,7.54,-22.945,5.8
Bizeux,2011,11.248,35.211,NA,7.72,4.793,NA,NA,NA,NA,NA,18.3,0.59,NA,NA,NA
Bizeux,2012,12.132,35.092,5.94,7.98,0.177,0.345,0.075,0.225,3.865,160.0865,1.4,0.7,6.394,-22.896,6.311
Bizeux,2013,11.6355,34.758,6.07,8.04,0.497,2.59,0.11,0.18,3.18,199.142,2.3375,1,6.676,-22.677,6.325
Bizeux,2014,9.828,34.233,5.64,8.05,0.363,4.335,0.185,0.29,3.19,207.2665,1.92,1.72,6.984,-22.734,6.349
Bizeux,2015,8.964,34.515,6.315,8.07,0.1825,1.575,0.095,0.125,2.315,231.9465,2.52,1.3,6.9955,-22.997,6.3615
Bizeux,2016,NA,NA,6.025,8.06,0.241,0.79,0.07,0.19,2.62,208.863,1.73,1.48,6.777,-22.271,6.644
Bouee 13,2005,15.6,34.6,NA,8.11,0.15,0.69,0.1,0.25,3.3,335,2.55,0.86,NA,NA,NA
Bouee 13,2006,15.68,34.61,5.825,8.205,0.335,1.48,0.19,0.18,2.59,295,2.7,1.015,NA,NA,NA
Bouee 13,2007,16.37,34.25,5.8,8.255,0.265,1.8,0.11,0.08,2.1,395,3.7,2.04,NA,NA,NA
Bouee 13,2008,14.27,34.71,5.92,8.255,0.47,0.65,0.08,0.07,2.2,320,2.5,1.315,6.15,-21.82,6.8
Bouee 13,2009,13.8,34.6,5.885,8.215,0.45,1.6,0.11,0.2,3.25,310,3.3,0.99,5.06,-22.2,7.07
Bouee 13,2010,12.55,34.635,5.93,8.21,0.355,0.6,0.01,0.09,2.8,300,2.8,1.89,5.06,-22.02,7.52
Bouee 13,2011,16.418,35.076,5.65,8.175,0.355,0.91,0.14,0.21,2.55,312.5,2.3,2.03,5.4655,-21.22,6.95
Bouee 13,2012,14.821,34.798,5.98,8.05,0.47,1.3,0.14,0.24,3,348,3.96,1.66,5.46,-21.66,7.48
Bouee 13,2013,13.773,33.741,6.16,8.09,0.37,2.6,0.08,0.07,4.7,363,3.26,1.62,5.915,-22.125,6.86
Bouee 13,2014,16.188,34.446,5.655,8.12,0.1,1.435,0.06,0.07,2.7,331.28,2.665,1.48,5.66,-22.26,7.21
Bouee 13,2015,15.659,34.461,5.915,8.045,0.171,3.3,0.16,0.115,4.175,450,3.255,1.78,5.615,-22.77,7.24
Bouee 13,2016,14.27,34.5455,5.94,8.02,0.217,NA,NA,NA,3.495,NA,4.3125,2,6.35,-22.275,7.355
Cézembre,2014,10.1155,34.6315,6.28,8.06,0.183,0.4,0.05,0.18,1.91,201.712,1.28,2.1,7.533,-22.226,6.129
Cézembre,2015,8.136,34.456,6.32,8.075,0.117,0.93,0.07,0.15,2.2,224.998,3.52,1.77,7.259,-23.247,6.4
Cézembre,2016,NA,NA,6.05,8.07,0.215,0.9,0.06,0.15,2.26,187.783,1.74,1.46,6.868,-22.395,6.573
Comprian,2005,17.13,33.2,NA,8.03,1.17,2.13,0.155,0.28,10.9,250,2.315,0.99,NA,NA,NA
Comprian,2006,16.02,32.66,5.49,8.07,3.88,4.1,0.3,0.16,12.63,325,3.75,1.415,NA,NA,NA
Comprian,2007,14.905,31.695,5.54,8.135,2.54,3.2,0.26,0.1,12.8,375,3.9,1.65,NA,NA,NA
Comprian,2008,13.945,31.06,5.58,8.14,3.5,11.7,0.425,0.17,15.05,335,3.25,1.335,4.32,-21.16,7.18
Comprian,2009,12.9,30.15,5.885,8.095,2.65,10.3,0.315,0.185,15.15,295,3,1.14,4.47,-21.36,6.97
Comprian,2010,13.672,31.138,5.64,8.12,1.995,6.5,0.18,0.11,13.1,280,2.8,1.44,4.34,-21.15,7.68
Comprian,2011,17.7975,33.9385,5.205,8.05,2.565,2.4,0.285,0.36,11.85,272.5,2.4,1.19,4.505,-21.075,6.9685
Comprian,2012,15.708,32.477,5.89,7.94,3.35,7.1,0.41,0.33,12.5,357.5,3.99,1.76,4.22,-21.24,7.67
Comprian,2013,14.85,28.9775,6.1,8.02,2.89,14.4,0.44,0.15,19.99,301,3.315,1.85,4.89,-22.1,7.03
Comprian,2014,15.719,31.919,5.375,8.03,1.949,4.6,0.205,0.085,13.06,337.42,2.6925,1.455,5.77,-21.57,6.99
Comprian,2015,15.1885,32.3425,5.55,7.955,1.6705,8.35,0.24,0.085,10.965,349,3.5375,1.505,5.265,-22.005,7.325
Comprian,2016,13.906,31.126,5.82,7.96,1.574,NA,NA,NA,12.84,NA,4.8,1.7,5.4,-21.72,7.33
Estacade,1997,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estacade,1998,12.95,NA,NA,NA,999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estacade,1999,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estacade,2000,12.175,35.046,6.19,NA,0.32,6.51,0.305,0.285,4.155,NA,NA,0.375,NA,NA,NA
Estacade,2001,12.8,35.165,6.27,8.145,0.255,6.2,0.21,0.23,2.9,202.1,3.3,0.48,NA,NA,NA
Estacade,2002,13,35.209,6.34,8.225,0.25,4.75,0.205,0.195,2.75,191.91,4.3,0.79,NA,NA,NA
Estacade,2003,12.6,34.982,6.3,8.14,0.325,4.6,0.22,0.2,3.6,161.9515,4.1,0.97,NA,NA,NA
Estacade,2004,13.25,35.186,6.24,8.07,0.3,3.5,0.18,0.14,3.1,182.7,3.6,0.66,NA,NA,NA
Estacade,2005,12.83,35.298,6.39,8.1,0.26,1.8,0.12,0.18,2.2,168,3.1,0.79,NA,NA,NA
Estacade,2006,14.1,35.187,6.45,8.06,0.34,4.7,0.215,0.22,3.05,170.4,3.05,0.76,NA,NA,NA
Estacade,2007,13.82,35.282,6.26,8.105,0.28,4,0.1,0.25,2.7,196,2.95,0.82,NA,NA,NA
Estacade,2008,13.1,35.169,6.235,8.05,0.34,5.9,0.2,0.39,3,217.4,3.5,0.88,NA,NA,NA
Estacade,2009,12.3,35.202,6.39,8.07,0.31,4.9,0.16,0.29,3.2,164.9,2.9,0.92,7.15,-22.09,6.56
Estacade,2010,12.54,35.132,6.415,8.08,0.27,4.9,0.175,0.265,2.75,145.581,1.65,0.615,6.807,-21.9325,6.8965
Estacade,2011,13.8,35.3,6.355,8.035,0.26,3.97,0.18,0.225,2.98,177.685,2.7,0.71,7.01,-21.905,6.765
Estacade,2012,12.65,35.3095,6.31,8.09,0.24,3.4,0.16,0.28,2.2,157.6,1.3,0.63,6.78,-22.6,6.66
Estacade,2013,12.05,35.207,6.27,7.98,0.23,6.135,0.17,0.22,2.76,101.55,0.65,0.725,7.24,-22.59,6.4
Estacade,2014,13.775,35.091,6.285,7.945,0.265,5,0.2,0.35,3.1,129.95,1.9,0.75,6.39,-21.935,7.105
Estacade,2015,13.525,35.262,6.42,7.95,0.21,3.855,0.155,0.3,2.245,124.55,1.1,0.73,7.13,-22.9,5.66
Estacade,2016,12.65,35.1475,6.31,7.945,0.26,3.985,0.19,0.325,2.235,152.9,1.2,0.63,7.445,-22.69,6.525
Eyrac,1997,13.2,33.4,5.98,8.15,NA,0.85,0.06,0.21,1.45,290,9.11,2.48,NA,NA,NA
Eyrac,1998,14.55,32.8,6.05,8.14,1.58,4.64,0.205,0.21,5.8,330,8.82,2.11,NA,NA,NA
Eyrac,1999,15.1,32.91,6.5,8.16,1.29,5.505,0.205,0.25,7.5,320,6.08,1.615,NA,NA,NA
Eyrac,2000,14.15,32.8,5.93,8.14,1.34,7.765,0.26,0.19,10.415,315,7.56,1.14,NA,NA,NA
Eyrac,2001,13.85,32.4,5.845,8.2,0.355,0.39,0.13,0.12,3.86,310,7.2,1.55,NA,NA,NA
Eyrac,2002,14.7,33.7,5.5,8.18,0.57,0.86,0.18,0.115,3.71,260,3.09,1.45,NA,NA,NA
Eyrac,2003,14.706,33.1265,5.81,8.23,0.515,0.945,0.155,0.385,6.7,560,4.385,1.705,NA,NA,NA
Eyrac,2004,16.4,32.7,5.77,8.185,0.62,0.95,0.05,0.11,4.8,440,4.88,1.84,NA,NA,NA
Eyrac,2005,17.46,33.85,NA,8.04,NA,0.5,0.13,0.26,7.8,265,2.55,0.9,NA,NA,NA
Eyrac,2006,15.35,33.57,5.545,8.115,2.595,2.63,0.21,0.17,7.83,280,2.65,1.47,NA,NA,NA
Eyrac,2007,16.87,32.53,5.685,8.175,1.81,2.6,0.205,0.055,7.2,400,3.55,2.005,NA,NA,NA
Eyrac,2008,13.755,32.885,5.875,8.18,2.04,5.75,0.27,0.1,7.7,315,2.9,1.595,5.395,-21.37,7.055
Eyrac,2009,13.3,32.04,5.715,8.14,1.87,5.75,0.24,0.165,8.85,285,2.6,1.23,5.045,-21.645,7.035
Eyrac,2010,13.623,32.981,5.87,8.14,1.045,2.9,0.11,0.07,7,320,3.22,2.21,4.44,-20.98,7.41
Eyrac,2011,17.469,34.508,5.36,8.09,1.77,2.145,0.235,0.24,7.65,252.5,2.25,1.665,4.96,-20.948,6.75
Eyrac,2012,15.488,33.387,5.94,7.99,2.041,4.37,0.31,0.33,8.7,299,3.5,1.78,4.4,-20.97,7.43
Eyrac,2013,14.752,31.032,6.09,8.04,2.125,8.2,0.24,0.11,12.2,303,3.245,1.77,5.73,-21.91,6.88
Eyrac,2014,15.327,32.929,5.435,8.06,1.21,2.89,0.14,0.045,6.68,290.865,2.7825,1.42,5.82,-21.54,7.24
