NOM_SITE,Annee,Mois,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
pK 67,2008,7,20.775,20.8,5.47,8.165,1.53,32.5,0.4,1.13,38,420,31.7,2.66,6.485,-25.1,5.015
pK 67,2008,8,21.495,24.035,4.835,8.205,1.66,19.1,0.46,1.12,24.9,400,38.4,1.66,4.19,-24.605,7.99
pK 67,2008,9,20.835,24.755,5.06,8.225,1,15,1.02,1.8,45,180,75,1.4,3.965,-25.46,7.1
pK 67,2008,10,12.705,20.055,6.145,8.075,0.67,9.3,0.83,1.74,35.4,200,16.2,1.56,5.47,-25.69,8.25
pK 67,2008,11,12.705,20.055,6.145,8.075,0.94,36.7,0.43,1.04,34.3,720,126.35,0.57,4.98,-25.25,7.675
pK 67,2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pK 67,2009,3,11.62,16.22,6.61,8.19,0.86,122.3,0.15,1.78,75.9,530,32.9,0.65,5.57,-24.78,8.11
pK 67,2009,4,13.625,16.935,6,8.16,1.53,73.7,0.19,1.43,31.1,780,162.2,2.03,5.175,-24.95,8.355
pK 67,2009,5,15.905,13.1,5.81,8.03,0.88,77.5,0.3,1.37,54.9,870,73.15,1.61,5.275,-25.11,8.145
pK 67,2009,6,20.05,17.825,5.375,8.135,0.85,46.8,0.2,1.2,42.6,370,26.7,1.05,4.92,-24.745,7.58
pK 67,2009,7,21.29,23.065,5.15,8.175,1.27,24.8,0.31,1.14,20,610,41.2,3.17,4.51,-23.805,7.515
pK 67,2009,8,22.97,25.655,4.735,8.275,1.01,23.8,0.64,0.82,22,290,27.6,0.9,5.07,-24.4,7.45
